course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Alex White,,,00551,,X3099-20271-010,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-010/,,,,1-4,,,20271NSBV3099X010,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Kevin G Bath,,,00552,,X3099-20271-020,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-020/,,,,1-4,,,20271NSBV3099X020,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Gabrielle J Gutierrez,,,00553,,X3099-20271-005,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-005/,,,,1-4,,,20271NSBV3099X005,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Bj Casey,,,00554,,X3099-20271-003,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-003/,,,,1-4,,,20271NSBV3099X003,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Peter D Balsam,,,00842,,X3099-20271-001,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-001/,,,,1-4,,,20271NSBV3099X001,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Elizabeth P Bauer,,,00843,,X3099-20271-002,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-002/,,,,1-4,,,20271NSBV3099X002,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",John Glendinning,,,00844,,X3099-20271-004,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-004/,,,,1-4,,,20271NSBV3099X004,INDEPENDENT
NSBV BC3099,INDEPENDENT STUDY,"This course can be worth 1 to 4 credits (each credit is equivalent to approximately three hours of work per week) and requires a Barnard faculty as a mentor who has to provide written approval. The course entails a scholarly component; for this, a research report is required by the end of the term. The research report can take the form that best suits the nature of the project. The course will be taken for a letter grade, regardless of whether the student chooses 1, 2, 3, or 4 credits.",Alexis S Hill,,,00845,,X3099-20271-011,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3099-20271-011/,,,,1-4,,,20271NSBV3099X011,INDEPENDENT
NSBV BC3361,CELLULAR & MOLECULAR NEUROSCIENCE,"This upper-level lecture course provides an in-depth analysis of neuroscience at the molecular and cellular levels. Topics include: the structure and function of neuronal membranes, the ionic basis of the membrane potential and action potential, synaptic transmission, synaptic plasticity, and sensory transduction.",Alexis S Hill,,,00535,,X3361-20271-001,CELLULAR & MOLECULAR NEUR,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3361-20271-001/,,,,3,,,20271NSBV3361X001,LECTURE
NSBV BC3378,Neuroscience Frontiers,"This course introduces students to a bold, high-risk, high-reward framework for thinking about neuroscience, tracing the field's most transformative discoveries from the action potential through the present day. Each week, students will examine landmark breakthroughs drawn from the last century of neuroscience through the lens of unconventional thinking that prioritizes ambitious questions over incremental research. Students will engage in guided discussions analyzing how risk-tolerant scientific culture has historically driven paradigm shifts, and how those lessons can be applied to today’s unanswered questions. Additionally, scientific discussions will be had about unconventional ideas of memory, consciousness, bioelectricity, brain organoids, and neural regeneration. By the end of the course, students are expected to not only understand the history of modern neuroscience and exciting discoveries in the field today, but to articulate and defend their own vision for what a high-risk, high-reward research agenda in the field might look like. Students are expected to contribute actively to the discussion.",,,,00893,,X3378-20271-001,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3378-20271-001/,,,,4,,,20271NSBV3378X001,SEMINAR
NSBV BC3386,THE NEURAL CODE,"By the end of this course you'll understand some of the canonical principles underlying how brains encode information. You'll become familiar with the most influential frameworks and models for describing the encoding and transfer of information in the brain and you'll dive into the paradigms that generate or motivate these coding frameworks. Prerequisites: Introduction to Neuroscience (NSBV BC 1001) and either Systems and Behavioral neuroscience (NSBV BC 3001), or a Stats course (NSBV BC2002, PSYC BC1101, PSYC UN1610, STAT UN1101, STAT UN1201), or a computer science course (such as any of the following: COMS BC1016+lab COMS BC1017, COMS W1001, COMS W1002, COMS W1004), or any bioengineering course, or permission of the instructor. Students will complete a brief survey during registration to determine whether they meet the prerequisites.",Gabrielle J Gutierrez,,,00536,,X3386-20271-001,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3386-20271-001/,,,,4,"COMS BC1016
COMS BC1017
COMS W1001
COMS W1002
COMS W1004
NSBV BC2002
PSYC BC1101
PSYC UN1610
STAT UN1101
STAT UN1201",,20271NSBV3386X001,SEMINAR
NSBV BC3398,PSYCHOBIOLOGY OF SLEEP,"This seminar will explore sleep and circadian rhythms, emphasizing how these factors and their disruption influence human health, disease, function, and well-being. Topics will include the physiologic and neurobiological generation of sleep and circadian rhythms, and the interaction between these systems with cognitive, behavioral, endocrine, metabolic, and mood/psychiatric variables in humans, as well as sleep disorders and their treatment.
  
NOTE: The course description is the same for the fall/spring course and the summer course.",Ari Shechter,,,00537,,X3398-20271-001,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3398-20271-001/,,,,4,,,20271NSBV3398X001,SEMINAR
NSBV BC3405,NEUROSCIENCE OF TRAUMA,"This course is a comprehensive review of the neural basis of the emotional, cognitive and behavioral responses to traumatic events.  The 
acute
 experience of trauma and the 
memory
 of the trauma may influence neural processes influencing social relatedness, attachment, emotional regulation, physiological homeostasis and the stress response.  Neuroscientific research provides insight into these processes and informs pharmacological and psychotherapeutic interventions for individual survivors.
  
Students will review neuroscientific theoretical models and research relevant to the neurobiology, neurophysiology, neuroanatomy and neurodevelopmental processes underlying the traumatic response. The neuroendocrine system and its relevance will also be reviewed.   The course will begin with a critical review of the Diagnostic and Statistical Manual (DSM) diagnosis of Trauma and Stressor Related Disorders, to acquire an understanding of the symptoms and diagnosis.  Next, students will review theory and research relevant to trauma and neurobiology, neuroanatomy and neurophysiology.  Finally, students will critique the application of these research findings to the design of current “neuro-informed” therapeutic interventions.  Throughout the course, individual case studies will provide insight into the brain’s influence on symptomatology and foster greater understanding and sensitivity to the personal post-traumatic experience.",E'Mett McCaskill,,,00538,,X3405-20271-001,,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3405-20271-001/,,,,3,,,20271NSBV3405X001,LECTURE
NSBV BC3592,NEUROSCIENCE GUIDED RESEARCH,"Neuroscience research commonly generates datasets that are increasingly complex and large. Open science and data sharing platforms have emerged across a wide range of neuroscience disciplines, laying the foundation for a transformation in the way scientists share, analyze, and reuse immense amounts of data collected in laboratories around the world. This class is designed to introduce students to several open source databases that span multiple investigative levels of neuroscience research. Students will utilize the datasets to conduct individual research projects.",Kara Pham,,,00543,,X3592-20271-001,NEUROSCIENCE GUIDED RESEA,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3592-20271-001/,,,,4,,,20271NSBV3592X001,LABORATORY
NSBV BC3592,NEUROSCIENCE GUIDED RESEARCH,"Neuroscience research commonly generates datasets that are increasingly complex and large. Open science and data sharing platforms have emerged across a wide range of neuroscience disciplines, laying the foundation for a transformation in the way scientists share, analyze, and reuse immense amounts of data collected in laboratories around the world. This class is designed to introduce students to several open source databases that span multiple investigative levels of neuroscience research. Students will utilize the datasets to conduct individual research projects.",Faculty,,,00849,,X3592-20271-002,NEUROSCIENCE GUIDED RESEA,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3592-20271-002/,,,,4,,,20271NSBV3592X002,LABORATORY
NSBV BC3594,RSRCH/SEM-NEUROSCNC&BEHAVIOR,"Prerequisites: Open to senior Neuroscience and Behavior majors. Permission of the instructor. This is a year-long course. By the end of the spring semester program planning period during junior year, majors should identify the lab they will be working in during their senior year. Discussion and conferences on a research project culminate in a written and oral senior thesis. Each project must be supervised by a scientist working at Barnard or at another local institution. Successful completion of the seminar substitutes for the major examination.",Russell D Romeo,,,00544,,X3594-20271-001,RSRCH/SEM-NEUROSCNC&BEHAV,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3594-20271-001/,,,,4,,,20271NSBV3594X001,SEMINAR
