course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACTU PS5030,INTRO TO LIFE INSURANCE,,Abraham Weishaus,6:10pm,8:55pm,11977,Morningside,K5030-20241-D01,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5030-20241-D01/,ONLINE ONLY,,,3,,M,20241ACTU5030KD01,ONLINE COURS
ACTU PS5281,THEORY OF INTEREST,,,6:10pm,8:55pm,11978,Morningside,K5281-20241-001,THERY OF INTEREST,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5281-20241-001/,To be announced,,,3,,W,20241ACTU5281K001,LECTURE
ACTU PS5630,PROPERTY/CASUALTY,,,6:10pm,8:55pm,11979,Morningside,K5630-20241-D01,PROPERTY & CASUALTY,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5630-20241-D01/,ONLINE ONLY,,,3,,W,20241ACTU5630KD01,LECTURE
ACTU PS5821,ACTUARIAL METHODS,"The Actuarial Methods course explores models for evaluating and managing risks of life contingent contracts, their theoretical basis and applications. Topics include survival models, life insurance and annuity benefits, premium and reserve calculations related to policies on a single life, as well as option pricing. This course also covers materials relevant to the long-term section of the Fundamentals of Actuarial Mathematics (FAM) exam of the Society of Actuaries. This is a core course of the M.S. in Actuarial Science program.

",Yubo Wang,8:40am,9:55am,11980,Morningside,K5821-20241-001,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5821-20241-001/,To be announced,,,3,,TR,20241ACTU5821K001,LECTURE
ACTU PS5822,ADVANCED ACTUARIAL METHODS,"The purpose this class is to develop the student’s knowledge of the theoretical basis of certain actuarial models and the application of those models to insurance and other financial risks. A thorough knowledge of calculus, probability, and interest theory is assumed. Knowledge of risk management at the level of Exam P is also assumed.
  
The combination of these two classes covers the material for the FAM-L and ALTAM examinations of the Society of Actuaries. This is a core class of the Actuarial Science program. Students who have already taken and passed the MLC or LTAM exam for SOA are exempted from this class and can substitute an elective.

",Abraham Weishaus,11:40am,12:55pm,11981,Morningside,K5822-20241-001,ADVANCED ACTUARIAL METHOD,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5822-20241-001/,To be announced,,,3,,MW,20241ACTU5822K001,LECTURE
ACTU PS5823,ACTUARIAL MODELS,"This course provides an introduction to the tools for pricing and reserving for short term insurance. We will discuss methods for calculating IBNR reserves, ratemaking, frequency and severity models used for modeling coverage modifications, statistical methods for fitting, evaluating, and selecting parametric models for frequency and severity, and three credibility methods.
  
This class covers the short-term material of Exam FAM and also covers the material of Exam ASTAM of the Society of Actuaries, and some of the material on Exams MAS I, MAS II, and 5 of the Casualty Actuarial Society. This is a core class of the Actuarial Science program. Students who have already taken and passed the FAM exam (or its short term portion) and the ASTAM exam administered by the SOA are exempted from this class and can substitute an elective.

",Abraham Weishaus,1:10pm,2:25pm,11983,Morningside,K5823-20241-001,,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5823-20241-001/,To be announced,,,3,,MW,20241ACTU5823K001,LECTURE
ACTU PS5840,PREDICTIVE MODELING IN FINANCE & INSURAN,"This course introduces to the students, generalized linear models (GLM), time series models, and some popular statistical learning models such as decision trees models as well as random forests and boosting trees.  The aim for GLM is to provide a flexible framework for the analysis and model building using the likelihood techniques for almost any data type. The aim for the statistical learning models is to build and predict or understand data structure (if unsupervised) using statistical learning methods such as tree-based for supervised learning and the Principle Component Analysis and Clustering for unsupervised learning.  It develops a student’s knowledge of the theoretical basis in predictive modeling, computational implementation of the models and their application in finance and insurance. Tools such as cross-validation and techniques such as regularization and dimension reduction for fitting and selecting models are explored.  We also implement these models using a combination of Excel and R.
  
The class covers the material of Exams, Statistics for Risk Modeling (SRM) and Predictive Analytics (PA) of Society of Actuaries, and some material of Exams, Modern Actuarial Statistics I (MAS-I) and MAS II by the Casualty Actuarial Society. This is a core course for the Actuarial Science students. Students who have already taken and passed the SRM and PA exams administered by the SOA are exempted from this class and can substitute an elective.

",Lina Xu,2:40pm,3:55pm,11984,Morningside,K5840-20241-001,PREDICT MODLNG IN FIN & INSRNC,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5840-20241-001/,To be announced,,,3,,TR,20241ACTU5840K001,SEMINAR
ACTU PS5841,DATA SCIENCE IN FINANCE AND INSURANCE,"This course explores machine learning models, their theoretical basis, computing implementation and applications in finance and insurance.  It discusses machine learning models for regression, classification and unsupervised learning;  tools such as cross validation and  techniques such as regularization, dimension reduction and ensemble learning;  and select algorithms for fitting machine learning models.  This course offers students an intensive hands-on experience where they combine theoretical understanding, domain knowledge and coding skills to better inform data-driven decision making.
  
Some topics covered are relevant to the statistical learning portion of the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS) curricula, and the quantitative methods section of the Chartered Financial Analyst (CFA) Institute curriculum.  This is a core course of the Actuarial Science program.

",Yubo Wang,10:10am,11:25am,11986,Morningside,K5841-20241-001,DATA SCIENCE IN FIN & INSURANC,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5841-20241-001/,To be announced,,,3,,TR,20241ACTU5841K001,LECTURE
ACTU PS5842,Advanced Data Science Applications in Fi,"The Advanced Data Science Applications in Finance and Insurance course covers topics in database navigation, select advanced predictive analytics models and model interpretability. Topics include relational databases, generalized additive models, deep learning models, linear mixed models, Bayesian approaches, and interpretable machine learning.
  
Course discussions help students develop an understanding of the models and methodologies, as well as the ability to implement these models in R or python using opensource packages. Course assignments help students practice applying these models to financial, insurance and other data, as well as gain additional insights through validating aspects of the models. After taking this course, students will be able to apply these advanced predictive analytics models to financial and insurance data to better inform data-driven decision making by combining their theoretical understanding, domain knowledge and coding skills.
  
Some topics covered are relevant to the Advanced Topics in Predictive Analytics (ATPA) exam of the Society of Actuaries, and (with a more analytical emphasis) to the quantitative methods section of the CFA Program Level II exam by the CFA Institute.
  
Familiarity with machine learning models covered in the Data Science in Finance and Insurance course is helpful. Prior exposure to linear algebra, calculus, statistics, and a working knowledge of python, R and spreadsheets are necessary.

",Yubo Wang,2:40pm,3:55pm,11987,Morningside,K5842-20241-001,Adv Data Sci App in Fin a,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5842-20241-001/,To be announced,,,3,,TR,20241ACTU5842K001,LECTURE
ACTU PS5843,GLOBAL CAPITAL MARKET & INVESTMENT,"This course will introduce students to major issues currently of concern to all investors. It can give you the skills to conduct a sophisticated assessment of current issues and debates covered by the popular media as well as more-specialized finance journals. These skills are essential for people who pursues a financial service career, especially in today’s rapidly evolving environment. The material presented in this course are both practical important and intellectually interesting.
  
This course is consistent with and relevant to Chartered Financial Analyst (CFA) curriculum. It covers all subjects in CFA test and most of problems are in the same format as the CFA examination questions. This course will also provide a foundation for further study in Financial Risk Management and Financial market related courses.

",,8:40am,11:25am,11988,Morningside,K5843-20241-001,GLOBAL CAPITAL MRKT & INVSTMNT,Actuarial Science,ACTU,,http://www.columbia.edu/cu/bulletin/uwb/subj/ACTU/K5843-20241-001/,To be announced,,,3,,W,20241ACTU5843K001,LECTURE
