course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFAS GU4080,TOPICS IN THE BLACK EXPERIENCE,Please refer to Institute for African American and African Diaspora Studies Department for section-by-section course descriptions.,Edwidge Danticat,2:10pm,4:00pm,10690,,G4080-20251-001,TOPICS IN THE BLACK EXPER,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Edwidge_Danticat,https://doc.sis.columbia.edu/subj/AFAS/G4080-20251-001/,To be announced,In-Person,,4,,T,20251AFAS4080G001,SEMINAR
AFAS GU4080,TOPICS IN THE BLACK EXPERIENCE,Please refer to Institute for African American and African Diaspora Studies Department for section-by-section course descriptions.,Jafari S Allen,2:10pm,4:00pm,10694,,G4080-20251-002,TOPICS IN THE BLACK EXPER,African American and African Diaspora,AFAS,,https://doc.sis.columbia.edu/subj/AFAS/G4080-20251-002/,To be announced,In-Person,,4,,W,20251AFAS4080G002,SEMINAR
AFAS GU4080,TOPICS IN THE BLACK EXPERIENCE,Please refer to Institute for African American and African Diaspora Studies Department for section-by-section course descriptions.,Vivaldi Jean-Marie,12:10pm,2:00pm,10697,,G4080-20251-003,TOPICS IN THE BLACK EXPER,African American and African Diaspora,AFAS,,https://doc.sis.columbia.edu/subj/AFAS/G4080-20251-003/,To be announced,In-Person,,4,,W,20251AFAS4080G003,SEMINAR
AFAS UN3001,SING A BLACK GIRL'S SONG:  THE NON FICTI,"This undergraduate seminar offers an in-depth exploration of the nonfiction work of the renowned African-American poet and playwright Ntozake Shange, whose archives are at Barnard College, her alma mater. Through readings, discussion, and visits to her archives, students will probe this lesser-examined aspect of Shange's oeuvre, including her essays on her life, the arts, food, and other artists and creators. This course invites participants to engage critically with Shange's essays and personal writings while delving into her archive.
  
Students will identify key themes and literary techniques in Shange's nonfiction and the historical and cultural context in which she wrote these works. We will examine how Shange's nonfiction contributes to her broader work and her perspectives on history, gender, feminism, and race as they intersect in her life as a Black woman artist. Students will develop critical thinking skills through close reading, analysis, and discussion of Shange's nonfiction and will improve their writing skills by composing reflections and essays on Shange's works. They will develop research skills and gain insights into Shange's creative process through firsthand engagement with Shange's archive at Barnard.",Edwidge Danticat,2:10pm,4:00pm,10689,,C3001-20251-001,Non Fict Writ. Ntozake Sh,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Edwidge_Danticat,https://doc.sis.columbia.edu/subj/AFAS/C3001-20251-001/,To be announced,In-Person,,3,,R,20251AFAS3001C001,SEMINAR
AFAS UN3940,SENIOR THESIS SEMINAR,"The Senior Seminar will afford thesis writers the chance to workshop their idea, conduct research and/or interviews, work with the IRB protocols (if necessary), learn to work with archival materials, and perform other research activities prior to writing the thesis. Students who choose to write a capstone paper or conduct a capstone project can choose an elective course the following semester. The Thesis Seminar, conducted in the spring semester, is a workshop-oriented course for Senior Thesis writers organized around honing their writing skills while providing guidance to students in their field/disciplinary-specific projects. For example, a student may choose to write a historical biography of an artist while another may pursue a sociological study of the effects of mass incarceration on voting rights. The instructor of the Thesis Seminar, working with a faculty adviser (dependent on the specific field of inquiry in the thesis), will provide feedback and supervise the writing schedule of the students.",Megan French-Marcelin,4:10pm,6:00pm,10703,,W3940-20251-001,,African American and African Diaspora,AFAS,,https://doc.sis.columbia.edu/subj/AFAS/W3940-20251-001/,To be announced,In-Person,,4,,R,20251AFAS3940W001,WORKSHOP
AFEN BC3134,UNHEARD VOICES: AFRICAN WOMEN,"How does one talk of women in Africa without thinking of Africa as a mythic unity? We will consider the political, racial, social and other contexts in which African women write and are written about in the context of their located lives in Africa and in the African Diaspora.",Yvette Christianse,12:10pm,2:00pm,00016,,X3134-20251-001,UNHEARD VOICES: AFRICAN W,Africana Studies (AFSB),AFEN,https://en.wikipedia.org/wiki/Yvette_Christians%C3%AB,https://doc.sis.columbia.edu/subj/AFEN/X3134-20251-001/,To be announced,,,4,,T,20251AFEN3134X001,SEMINAR
AFEN BC3135,Zora Neale Hurston: A Writing Life,"On her “Record of Freshman Interest” form, Zora Neale Hurston, Barnard class of 1928, wrote in response to the question of what vocation or profession she had in mind after graduation, “I have had some small success as a writer and wish above all to succeed at it. Either teaching or social work would be interesting, but consolation prizes.”  No consolation prize was necessary as Hurston became one of American and African American literature’s finest writers, America’s first Black anthropologist, and a Black feminist ancestor and icon. A deep dive into Hurston’s work and writing life, this course reads Hurston as a narrative stylist and theorist in multiple genres: as poet, essayist, writer of short stories, novelist, playwright, folklorist, and memorist. The goal of this class is to read Hurston closely and widely and to identify and examine her aesthetic philosophy and stylistic choices as one of the first African American women able to have a writing “career.” We will concentrate on her work from the 1920s through the 1930s, when she was at Barnard, and a leading figure in the Harlem/New Negro Renaissance.
  
In her time, Hurston was adamant about writing for and about people like herself; she saw ordinary black people as keepers of a rich culture that should be celebrated and shared.  In this spirit, the assignments for this course will lead to final digital projects that can be shared with the Barnard community in anticipation of the centennial of Hurston’s matriculation and graduation from Barnard (1925-1928).  We will partner with the Digital Humanities Center at Barnard, as well as Barnard Archives; we will engage resources at Barnard, such as Hurston-focused issues of 
The Scholar and Feminist Online
, and other institutions, such as Columbia’s Rare Book Collection, the Schomburg Center for Research in Black Culture, and the Library of Congress. No prior experience with digital tools is necessary.",Monica L Miller,10:10am,12:00pm,00017,,X3135-20251-001,Zora Neale Hurston: A Wri,Africana Studies (AFSB),AFEN,,https://doc.sis.columbia.edu/subj/AFEN/X3135-20251-001/,To be announced,,,4,,W,20251AFEN3135X001,SEMINAR
AFEN BC3196,HARLEM RENAISSANCE LITERATURE,"Home to Harlem focuses on the relationship between art, activism and social justice during the Harlem/ New Negro Renaissance. Exploring the cultural contexts and aesthetic debates that animated Harlem in 1920s to 1930s, the course discusses the politics of literary and theatrical production, while exploring the fashioning and performance of New Negro identity through fiction, poetry, essays, and artwork.  Topics considered include: role of Africa/slavery/the south in New Negro expression, patronage, passing, primitivism/popular culture, black dialect as literary language, and the problematics of creating a “racial” art in/for a community comprised of differences in gender, class, sexuality, and geographical origin.",Maleda Belilgne,4:10pm,6:00pm,00570,,X3196-20251-001,HARLEM RENAISSANCE LITERA,Africana Studies (AFSB),AFEN,,https://doc.sis.columbia.edu/subj/AFEN/X3196-20251-001/,To be announced,,,4,,W,20251AFEN3196X001,SEMINAR
AFEN BC3817,Black Shakespeare,"This course examines Shakespeare’s role in shaping Western ideas about Blackness, in processes of racial formation, and in Black freedom struggle. As one of the most enduring  representations of a Black man in Western art Shakespeare’s 
Othello 
will be a focal point. However, this course will examine other “race” plays as well as works perceived as “race-neutral” in tandem with Black “respeakings” of Shakespeare’s works. This class is antiracist in intent and is shaped by several interlocking questions: What is Black Shakespeare? Can creators and scholars separate Shakespeare from the apparatus of white supremacy that has been built around his works? What are the challenges for BIPOC actors performing Shakespeare on the dominant stage? What are the challenges and obstacles for BIPOC scholars working on Shakespeare in academia? Can performing Shakespeare be an activist endeavor",Kim F Hall,4:10pm,6:00pm,00025,,X3817-20251-001,,Africana Studies (AFSB),AFEN,,https://doc.sis.columbia.edu/subj/AFEN/X3817-20251-001/,To be announced,,,4,,T,20251AFEN3817X001,SEMINAR
AFRS BC2005,CARIBBEAN CULTURE & SOCIETIES,"This course offers a chronological study of the Anglophone, Hispanophone, and Francophone insular Caribbean through the eyes of some of the region’s most important writers and thinkers. We will focus on issues that key Caribbean intellectuals--including two Nobel prize-winning authors--consider particularly enduring and relevant in Caribbean cultures and societies. Among these are, for example, colonization, slavery, national and postcolonial identity, race, class, popular culture, gender, sexuality, tourism and migration. This course will also serve as an introduction to some of the exciting work on the Caribbean by professors at Barnard College and Columbia University (faculty spotlights).",Maja Horn,10:10am,11:25am,00034,,X2005-20251-001,CARIBBEAN CULTURE & SOCIE,Africana Studies (AFSB),AFRS,,https://doc.sis.columbia.edu/subj/AFRS/X2005-20251-001/,To be announced,,,3,,TR,20251AFRS2005X001,LECTURE
