course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
LAW_ L6108,CRIMINAL LAW,,Jed S Rakoff,4:50pm,6:10pm,10043,Morningside,L6108-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Jed_S._Rakoff,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6108-20231-001/,To be announced,In-Person,,3,,TWR,20231LAW_6108L001,LECTURE
LAW_ L6108,CRIMINAL LAW,,Bernard Harcourt,10:40am,12:00pm,10044,Morningside,L6108-20231-002,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6108-20231-002/,To be announced,In-Person,,3,,TRF,20231LAW_6108L002,LECTURE
LAW_ L6108,CRIMINAL LAW,,James Liebman,9:10am,10:30am,10045,Morningside,L6108-20231-003,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6108-20231-003/,To be announced,In-Person,,3,,TR,20231LAW_6108L003,LECTURE
LAW_ L6108,CRIMINAL LAW,,,2:50pm,4:10pm,10137,Morningside,L6108-20231-004,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6108-20231-004/,To be announced,In-Person,,3,,MW,20231LAW_6108L004,LECTURE
LAW_ L6109,CRIMINAL INVESTIGATIONS,,Debra A Livingston,8:00am,9:05am,10042,Morningside,L6109-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6109-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6109L001,LECTURE
LAW_ L6116,PROPERTY (FOUNDATION),,Michael A Heller,9:10am,10:30am,10078,Morningside,L6116-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Michael_Heller_%28law_professor%29,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6116-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6116L001,LECTURE
LAW_ L6116,PROPERTY (FOUNDATION),,Thomas W Merrill,10:40am,12:00pm,10079,Morningside,L6116-20231-002,,Law,LAW_,https://en.wikipedia.org/wiki/Thomas_W._Merrill,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6116-20231-002/,To be announced,In-Person,,4,,TWR,20231LAW_6116L002,LECTURE
LAW_ L6116,PROPERTY (FOUNDATION),,Maeve H Glass,10:40am,12:00pm,10080,Morningside,L6116-20231-003,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6116-20231-003/,To be announced,In-Person,,4,,MTW,20231LAW_6116L003,LECTURE
LAW_ L6118,TORTS,,Bert Huang,2:50pm,4:50pm,10103,Morningside,L6118-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6118-20231-001/,To be announced,In-Person,,4,,MW,20231LAW_6118L001,LECTURE
LAW_ L6118,TORTS,,Bert Huang,2:50pm,4:50pm,10104,Morningside,L6118-20231-002,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6118-20231-002/,To be announced,In-Person,,4,,TR,20231LAW_6118L002,LECTURE
LAW_ L6132,AMER CONSTITUTIONAL LAW,,Akhil R Amar,4:20pm,7:10pm,10022,Morningside,L6132-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6132-20231-001/,To be announced,In-Person,,3,,T,20231LAW_6132L001,LECTURE
LAW_ L6133,CONSTITUTIONAL LAW,,Philip Hamburger,2:50pm,4:40pm,10033,Morningside,L6133-20231-002,,Law,LAW_,https://en.wikipedia.org/wiki/Philip_Hamburger,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6133-20231-002/,To be announced,In-Person,,4,,TR,20231LAW_6133L002,LECTURE
LAW_ L6133,CONSTITUTIONAL LAW,,,10:40am,12:00pm,10138,Morningside,L6133-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6133-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6133L001,LECTURE
LAW_ L6169,LEGISLATION AND REGULATION,,Gillian E Metzger,10:10am,12:00pm,10069,Morningside,L6169-20231-001,LEGISLATION AND REGULATIO,Law,LAW_,https://en.wikipedia.org/wiki/Gillian_E._Metzger,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6169-20231-001/,To be announced,In-Person,,4,,MW,20231LAW_6169L001,LECTURE
LAW_ L6169,LEGISLATION AND REGULATION,,Richard Briffault,1:20pm,2:40pm,10070,Morningside,L6169-20231-002,LEGISLATION AND REGULATIO,Law,LAW_,https://en.wikipedia.org/wiki/Richard_Briffault,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6169-20231-002/,To be announced,In-Person,,4,,MTW,20231LAW_6169L002,LECTURE
LAW_ L6173,CRITICAL LEGAL THOUGHT,,Katherine Franke,1:20pm,2:40pm,10046,Morningside,L6173-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6173-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6173L001,LECTURE
LAW_ L6177,LAW AND CONTEMPORARY SOCIETY,,Eben Moglen,1:20pm,2:40pm,10065,Morningside,L6177-20231-001,LAW AND CONTEMPORARY SOCI,Law,LAW_,https://en.wikipedia.org/wiki/Eben_Moglen,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6177-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6177L001,LECTURE
LAW_ L6183,US & INTL LEGAL SYSTEM,,Matthew Waxman,1:20pm,2:40pm,10102,Morningside,L6183-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Matthew_Waxman,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6183-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6183L001,LECTURE
LAW_ L6184,LAW AND NEOLIBERALISM,,Kendall Thomas,1:20pm,2:40pm,10067,Morningside,L6184-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6184-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6184L001,LECTURE
LAW_ L6202,ADV CORP LAW: MERG & ACQUISTNS,,Jeffrey Gordon,2:50pm,4:10pm,10020,Morningside,L6202-20231-001,ADV CORP LAW: MERG & ACQU,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6202-20231-001/,To be announced,In-Person,,4,,TWR,20231LAW_6202L001,LECTURE
LAW_ L6205,FIN STATEMNT ANALYSIS & INTERP,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Norman Bartczak,3:20pm,6:10pm,10053,Morningside,L6205-20231-001,FIN STATEMNT ANALYSIS & I,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6205-20231-001/,To be announced,In-Person,,3,,R,20231LAW_6205L001,LECTURE
LAW_ L6212,INT'L BUSINESS TRANSACTIONS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Alejandro M Garro,9:10am,10:30am,10059,Morningside,L6212-20231-001,INT'L BUSINESS TRANSACTIO,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6212-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6212L001,LECTURE
LAW_ L6213,AMERICAN LEGAL HISTORY,,Kellen R Funk,1:20pm,2:40pm,10139,Morningside,L6213-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6213-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6213L001,LECTURE
LAW_ L6214,CIVIL RIGHTS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Olatunde Johnson,9:10am,10:30am,10028,Morningside,L6214-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6214-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6214L001,LECTURE
LAW_ L6223,COMPARATIVE CONSTITUTIONAL LAW,,Madhav Khosla,1:20pm,2:40pm,10031,Morningside,L6223-20231-001,COMPARATIVE CONSTITUTIONA,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6223-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6223L001,LECTURE
LAW_ L6230,CORPORATE TAXATION,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Rick D'Avino,10:40am,12:00pm,10038,Morningside,L6230-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6230-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6230L001,LECTURE
