course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACLS BC3997,INTERDISCIPLINARY SENIOR SEM,"Prerequisites: ACLS BC3450. Enrollment limited to Barnard seniors participating in the Athena Scholars Program. Limited to seniors participating in the Athena Scholars Program. Students will develop a social action project where they must demonstrate leadership skills in an off-campus setting. Students will be expected to develop and implement a detailed plan to start their project. Then they will collaborate with other class members to advance their projects, report to their peers on their accomplishments and have an opportunity to work closely with organizations across the city on their efforts.
",Skye Cleary,2:10pm,4:00pm,00003,Barnard College,X3997-20221-001,INTERDISCIPLINARY SENIOR,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3997-20221-001/,To be announced,,Barnard College,4,ACLS BC3450,W,20221ACLS3997X001,SEMINAR
ACTU PS5030,INTRO TO LIFE INSURANCE,,Abraham Weishaus,6:10pm,8:55pm,12680,Morningside,K5030-20221-D01,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5030-20221-D01/,ONLINE ONLY,On-Line Only,,3,,M,20221ACTU5030KD01,ONLINE COURS
ACTU PS5630,PROPERTY/CASUALTY,,,6:10pm,8:55pm,12683,Morningside,K5630-20221-D01,PROPERTY & CASUALTY,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5630-20221-D01/,To be announced,In-Person,Professional Studies,3,,W,20221ACTU5630KD01,LECTURE
ACTU PS5821,ACTUARIAL METHODS I,,Yubo Wang,2:40pm,3:55pm,12684,Morningside,K5821-20221-001,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5821-20221-001/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20221ACTU5821K001,LECTURE
ACTU PS5822,ACTUARIAL METHODS II,,Abraham Weishaus,10:10am,11:25am,12686,Morningside,K5822-20221-H01,ACTUARIAL METHODS II ONLINE,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5822-20221-H01/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,MW,20221ACTU5822KH01,LECTURE
ACTU PS5823,ACTUARIAL MODELS,,Abraham Weishaus,11:40am,12:55pm,12690,Morningside,K5823-20221-001,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5823-20221-001/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,MW,20221ACTU5823K001,LECTURE
ACTU PS5830,MODELS FOR FINANCE & ECONOMICS,,Yubo Wang,8:40am,9:55am,12693,Morningside,K5830-20221-H01,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5830-20221-H01/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20221ACTU5830KH01,LECTURE
ACTU PS5840,PREDICTIVE MODELING IN FINANCE & INSURAN,"PREDICTIVE MODELING IN FINANCE & INSURANCE
",Lina Xu,2:40pm,3:55pm,12695,Morningside,K5840-20221-H01,PREDICT MODLNG IN FIN & INSRNC,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5840-20221-H01/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20221ACTU5840KH01,SEMINAR
ACTU PS5841,DATA SCIENCE IN FINANCE AND INSURANCE,,Yubo Wang,10:10am,11:25am,12699,Morningside,K5841-20221-H01,DATA SCIENCE IN FIN & INSURANC,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5841-20221-H01/,To be announced,In-Person,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20221ACTU5841KH01,LECTURE
ACTU PS5900,PROSEMINAR IN ACTUARIAL SCIENCE,,Lina Xu,4:10pm,6:00pm,12707,Morningside,K5900-20221-H01,PROSEMINAR IN ACTUARIAL,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5900-20221-H01/,To be announced,In-Person,Professional Studies,2,,TR,20221ACTU5900KH01,PROSEMINAR
ACTU PS5995,INTERNSHIP IN ACTUARIAL SCIENCE,,Lina Xu,,,12709,Morningside,K5995-20221-H01,INTERNSHIP IN ACTUARIAL S,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5995-20221-H01/,,In-Person,Professional Studies,1,,,20221ACTU5995KH01,INTERNSHIP
AFCV UN1020,AFRICAN CIVILIZATION,"This course provides a general introduction to some of the key intellectual debates in Africa by Africans through primary sources, including scholarly works, political tracts, fiction, art, and film. Beginning with an exploration of African notions of spiritual and philosophical uniqueness and ending with contemporary debates on the meaning and historical viability of an African Renaissance, this course explores the meanings of ‘Africa and ‘being African. Field(s): AFR*. NO FIRST YEAR STUDENTS PERMITTED.
",,10:10am,12:00pm,11037,Morningside,C1020-20221-001,,Core (A&S)	,AFCV,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFCV/C1020-20221-001/,To be announced,In-Person,"Columbia College
Engineering:Undergraduate
General Studies",4,,TR,20221AFCV1020C001,LECTURE
AFRS BC2006,INTRODUCTION AFRICAN DIASPORA,"Interdisciplinary and thematic approach to the African diaspora in the Americas: its motivations, dimensions, consequences, and the importance and stakes of its study. Beginning with the contacts between Africans and the Portuguese in the 15th century, this class will open up diverse paths of inquiry as students attempt to answer questions, clear up misconceptions, and challenge assumptions about the presence of Africans in the New World.
",Celia E Naylor,2:10pm,4:00pm,00463,Barnard College,X2006-20221-001,INTRODUCTION AFRICAN DIAS,Africana Studies (AFSB),AFRS,http://culpa.info/professors/10129,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X2006-20221-001/,To be announced,,,3,,M,20221AFRS2006X001,LECTURE
AFRS BC3021,Queer Caribbean Critique,"This seminar analyzes the different critical approaches to studying same-sex desire in the Caribbean region. The region’s long history of indigenous genocide, colonialism, imperialism, and neo-liberalism, have made questions about “indigenous” and properly “local” forms of sexuality more complicated than in many other regions. In response, critics have worked to recover and account for local forms of same-sex sexuality and articulated their differences in critical and theoretical terms outside the language of “coming out” and LGBT identity politics. On the other hand, critics have emphasized how outside forces of colonialism, imperialism, and the globalization of LGBT politics have impacted and reshaped Caribbean same-sex desires and subjectivities. This course studies these various critical tendencies in the different contexts of the Anglophone, Francophone, Hispanophone, and Dutch Caribbean.   
",Maja Horn,10:00am,12:00pm,00464,Barnard College,X3021-20221-001,QUEER CARIBBEAN CRITIQUE,Africana Studies (AFSB),AFRS,http://culpa.info/professors/3092,gold,7.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X3021-20221-001/,To be announced,,,4,,W,20221AFRS3021X001,SEMINAR
