course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
COMM PS5121,ACTIVATING EMPLOYEES,"In 
Activating Employees: Transformation, Culture, and Growth
, we examine both
 tried-and-true and emergent methods for building durable, strategic programs to
 inform, engage, enable and activate entire companies in alignment with business
 strategy, company values, and purpose.",Ethan McCarty,,,10037,,K5121-20272-D01,,Strategic Communication,COMM,https://doc.sis.columbia.edu/subj/COMM/K5121-20272-D01/,,On-Line Only,Professional Studies,3,,,20272COMM5121KD01,LECTURE
ERMC PS5001,INTRODUCTION TO FINANCE,"This elective is available to and highly recommended for students without a strong finance background. It introduces students to the fundamental financial issues of the modern corporation. By the end of this course, students will understand the basic concepts of financial planning, growth management, debt financing, equity valuation, and capital budgeting.  (This course is not automatically available for all students; students must contact their Advisor to determine eligibility to register.)",,,,10000,,K5001-20272-000,,Auditing,ERMC,https://doc.sis.columbia.edu/subj/ERMC/K5001-20272-000/,,On-Line Only,,3,,,20272ERMC5001K000,LECTURE
